NAME,GEO_ID,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county,tract,block group,Pop_65_Plus,Pop_75_Plus
"Block Group 2, Census Tract 9015.08, Prince William County, Virginia",511539015082,684,16,65,64,24,20,37,0,18,51,84,32,66,20,61,35,0,30,0,0,39,22,0,0,557,37,17,28,44,18,11,0,0,16,62,86,24,9,65,25,6,14,0,18,18,0,59,0,51,153,901508,2,156,81
"Block Group 1, Census Tract 9015.09, Prince William County, Virginia",511539015091,1535,144,191,163,42,66,0,0,33,115,82,149,141,144,65,55,28,43,0,49,25,0,0,0,1493,127,92,219,62,0,0,0,19,109,60,139,178,119,117,72,10,54,35,39,12,0,0,30,51,153,901509,1,190,30
"Block Group 2, Census Tract 9015.09, Prince William County, Virginia",511539015092,685,30,3,73,17,7,0,0,80,51,19,16,85,9,129,22,20,70,0,17,7,18,12,0,838,25,16,241,0,9,0,0,12,32,14,21,132,83,19,44,35,67,8,9,42,0,0,29,51,153,901509,2,142,59
"Block Group 1, Census Tract 9015.10, Prince William County, Virginia",511539015101,1173,23,77,183,132,37,0,0,0,13,6,26,91,196,117,105,49,0,0,18,42,44,4,10,1037,46,72,124,102,27,11,0,21,29,29,52,134,96,115,43,24,3,9,11,46,25,5,13,51,153,901510,1,227,101
"Block Group 2, Census Tract 9015.10, Prince William County, Virginia",511539015102,1056,69,153,105,40,20,13,50,6,17,99,98,69,133,52,57,9,17,11,0,27,0,0,11,1435,166,191,148,22,4,8,10,17,36,138,122,175,162,89,25,9,15,40,0,32,13,0,13,51,153,901510,2,147,37
"Block Group 1, Census Tract 9015.11, Prince William County, Virginia",511539015111,1352,59,151,136,79,0,91,0,53,32,34,61,64,136,123,110,20,14,9,48,60,40,19,13,1156,41,92,120,56,16,0,0,61,10,32,85,143,59,130,47,6,64,0,71,28,26,69,0,51,153,901511,1,383,167
"Block Group 2, Census Tract 9015.11, Prince William County, Virginia",511539015112,595,11,17,8,0,0,0,0,0,0,12,30,29,12,14,26,8,28,16,62,115,137,56,14,875,12,26,37,12,0,0,0,0,0,12,25,10,5,17,53,0,37,67,53,197,131,137,44,51,153,901511,2,1029,519
"Block Group 2, Census Tract 9016.01, Prince William County, Virginia",511539016012,640,85,28,38,0,10,0,53,11,77,89,32,25,49,73,6,0,18,9,16,14,0,7,0,505,84,3,41,41,77,0,0,0,33,37,21,94,0,0,25,0,34,0,0,8,0,7,0,51,153,901601,2,61,14
"Block Group 3, Census Tract 9016.01, Prince William County, Virginia",511539016013,877,59,79,108,110,27,0,0,39,0,34,36,51,143,4,125,41,0,1,6,11,3,0,0,1027,37,120,148,38,13,0,0,51,71,39,126,55,116,11,71,85,0,5,5,13,6,7,10,51,153,901601,3,67,26
"Block Group 2, Census Tract 9016.02, Prince William County, Virginia",511539016022,1044,0,30,10,127,0,54,124,111,38,10,30,121,122,73,55,0,60,17,11,0,19,16,16,1055,0,33,175,51,42,42,0,0,38,26,83,33,67,209,31,16,0,0,60,81,19,49,0,51,153,901602,2,288,119
"Block Group 3, Census Tract 9016.02, Prince William County, Virginia",511539016023,986,24,35,105,14,18,0,0,73,219,51,41,136,36,45,65,40,4,15,16,34,0,15,0,807,40,39,85,0,0,24,0,18,108,95,33,52,34,0,77,19,49,32,32,0,17,0,53,51,153,901602,3,214,85
"Block Group 5, Census Tract 9016.02, Prince William County, Virginia",511539016025,1021,108,73,13,72,17,0,0,0,18,128,90,213,85,68,108,16,0,12,0,0,0,0,0,1349,146,152,75,30,33,29,41,46,105,107,174,162,93,29,25,56,16,13,0,0,0,0,17,51,153,901602,5,42,17
"Block Group 1, Census Tract 9017.02, Prince William County, Virginia",511539017021,872,64,13,94,14,0,32,0,41,140,52,143,70,18,116,26,38,0,5,0,6,0,0,0,968,19,159,64,0,47,0,0,13,279,56,70,72,71,55,42,0,6,0,0,0,15,0,0,51,153,901702,1,26,15
"Block Group 2, Census Tract 9017.02, Prince William County, Virginia",511539017022,934,76,0,6,0,79,0,0,138,118,45,34,225,89,24,19,24,0,0,20,12,25,0,0,794,63,74,75,50,48,29,0,44,53,44,102,48,0,10,62,9,0,31,17,7,8,20,0,51,153,901702,2,140,53
"Block Group 3, Census Tract 9017.02, Prince William County, Virginia",511539017023,370,11,0,14,23,24,0,0,0,58,41,28,0,0,46,63,0,0,0,23,0,15,13,11,418,0,24,24,74,15,0,0,0,33,35,18,19,36,48,20,7,0,0,12,13,34,0,6,51,153,901702,3,127,79
"Block Group 1, Census Tract 9017.03, Prince William County, Virginia",511539017031,322,0,0,0,53,0,0,0,0,12,0,77,50,0,15,23,0,29,39,0,0,0,24,0,320,0,0,44,0,0,0,0,0,0,13,0,17,99,0,23,0,35,14,63,0,12,0,0,51,153,901703,1,152,36
"Block Group 2, Census Tract 9017.03, Prince William County, Virginia",511539017032,876,0,17,52,100,106,62,72,0,53,68,26,77,107,30,33,0,31,9,0,8,16,9,0,1000,97,61,71,10,58,57,0,126,150,12,47,14,145,86,9,0,7,10,0,14,23,3,0,51,153,901703,2,92,51
"Block Group 1, Census Tract 9017.04, Prince William County, Virginia",511539017041,1204,253,0,152,58,99,0,0,84,195,146,7,76,67,17,0,17,0,0,0,33,0,0,0,528,0,57,87,20,36,0,0,0,33,46,107,16,94,0,17,0,0,0,0,15,0,0,0,51,153,901704,1,48,0
"Block Group 2, Census Tract 9017.04, Prince William County, Virginia",511539017042,591,49,0,60,0,0,0,12,160,31,1,46,18,0,141,28,0,1,0,23,10,0,11,0,678,76,36,24,0,1,0,1,92,48,0,144,0,34,0,49,0,93,0,10,25,0,11,34,51,153,901704,2,124,56
"Block Group 3, Census Tract 9017.04, Prince William County, Virginia",511539017043,1173,94,83,59,0,0,0,8,52,65,64,221,154,320,15,0,0,0,0,38,0,0,0,0,862,123,86,117,81,0,0,0,0,99,164,128,0,7,14,0,0,22,0,0,0,21,0,0,51,153,901704,3,59,21
"Block Group 4, Census Tract 9017.04, Prince William County, Virginia",511539017044,1076,55,49,103,0,18,13,15,39,120,203,201,59,23,0,0,0,0,0,178,0,0,0,0,859,157,56,40,9,84,0,0,44,184,89,79,4,25,22,34,0,0,0,32,0,0,0,0,51,153,901704,4,210,0
"Block Group 1, Census Tract 9019, Prince William County, Virginia",511539019001,1172,150,208,45,32,26,0,0,84,39,35,250,30,92,5,53,0,34,0,35,12,0,42,0,958,110,67,130,0,35,0,21,22,206,75,45,78,87,8,38,14,0,0,3,19,0,0,0,51,153,901900,1,111,42
"Block Group 3, Census Tract 9019, Prince William County, Virginia",511539019003,392,25,0,66,42,0,0,0,0,34,15,55,26,0,110,16,0,3,0,0,0,0,0,0,332,46,13,0,13,0,0,40,0,35,16,32,48,36,9,33,0,0,0,0,0,0,0,11,51,153,901900,3,11,11
"Block Group 4, Census Tract 9019, Prince William County, Virginia",511539019004,494,65,45,42,0,14,0,15,18,44,37,4,46,33,42,9,0,0,33,39,8,0,0,0,527,67,64,28,0,18,0,0,17,46,74,12,29,28,29,26,22,24,0,1,34,8,0,0,51,153,901900,4,123,8
"Block Group 1, Census Tract 2101.01, Pulaski County, Virginia",511552101011,589,0,24,8,0,0,0,0,13,34,11,30,27,29,81,211,0,13,34,0,39,0,35,0,582,26,0,10,0,0,0,9,19,19,33,24,87,0,99,56,0,19,65,6,18,73,19,0,51,155,210101,1,289,127
"Block Group 2, Census Tract 2101.01, Pulaski County, Virginia",511552101012,470,61,21,0,0,0,0,0,0,18,0,13,22,0,48,53,38,13,19,16,57,17,54,20,515,21,75,0,34,0,0,0,8,37,27,24,31,21,40,0,0,43,26,24,59,21,24,0,51,155,210101,2,337,136
"Block Group 1, Census Tract 2101.02, Pulaski County, Virginia",511552101021,496,0,32,30,22,14,17,0,0,0,71,11,14,16,88,34,0,42,8,11,28,44,0,14,432,57,13,16,30,0,43,0,0,0,15,0,13,6,94,0,22,29,0,22,0,13,0,59,51,155,210102,1,199,130
"Block Group 2, Census Tract 2101.02, Pulaski County, Virginia",511552101022,911,46,0,0,158,0,0,0,0,16,120,0,46,68,0,12,148,0,0,88,141,49,19,0,1052,0,64,116,0,25,0,0,0,17,99,0,92,33,30,169,70,48,32,83,44,118,12,0,51,155,210102,2,586,198
"Block Group 2, Census Tract 2102.01, Pulaski County, Virginia",511552102012,653,35,35,15,0,22,0,0,28,170,21,45,34,11,42,41,28,23,18,14,40,11,0,20,831,17,13,58,36,16,0,7,12,104,37,0,66,38,63,57,25,8,130,0,60,41,10,33,51,155,210201,2,377,115
"Block Group 3, Census Tract 2102.01, Pulaski County, Virginia",511552102013,687,34,0,70,57,0,11,0,21,71,49,45,87,14,39,72,8,12,10,55,9,0,0,23,525,0,5,0,0,37,0,0,19,62,12,53,0,100,10,95,6,14,26,52,13,0,11,10,51,155,210201,3,209,44
"Block Group 2, Census Tract 2102.02, Pulaski County, Virginia",511552102022,504,0,24,17,0,0,0,18,0,9,36,28,47,18,93,40,17,0,4,43,62,6,22,20,699,8,36,64,0,0,0,43,0,7,19,64,69,42,22,26,10,5,16,149,61,30,23,5,51,155,210202,2,441,106
"Block Group 3, Census Tract 2102.02, Pulaski County, Virginia",511552102023,600,21,68,23,3,24,20,29,0,15,37,0,0,41,47,89,5,15,26,11,42,6,64,14,660,0,50,13,0,0,0,0,28,12,55,17,28,15,58,121,12,55,5,21,67,59,44,0,51,155,210202,3,359,187
"Block Group 1, Census Tract 3.02, Charlottesville city, Virginia",515400003021,834,25,26,82,5,7,0,0,0,140,106,120,33,69,50,23,0,13,20,25,10,43,17,20,969,12,31,48,21,0,0,0,89,188,87,109,19,52,121,24,21,59,28,22,0,28,6,4,51,540,302,1,223,118
"Block Group 1, Census Tract 4.01, Charlottesville city, Virginia",515400004011,699,46,37,84,34,0,0,0,6,87,163,9,44,38,0,71,9,0,15,17,19,0,0,20,1110,25,77,87,13,24,0,11,15,159,172,112,18,41,73,32,83,45,4,43,43,12,0,21,51,540,401,1,194,53
"Block Group 2, Census Tract 4.01, Charlottesville city, Virginia",515400004012,1315,180,106,24,21,0,32,0,90,79,179,138,169,40,110,74,0,21,26,0,0,16,10,0,1184,87,54,72,0,54,18,0,6,62,52,219,151,36,100,87,36,9,5,23,74,15,18,6,51,540,401,2,193,65
"Block Group 1, Census Tract 4.02, Charlottesville city, Virginia",515400004021,309,6,42,0,0,0,0,0,0,6,44,69,16,20,19,0,25,0,0,0,36,26,0,0,213,14,17,0,0,0,0,0,0,43,63,0,14,18,0,19,0,0,0,0,25,0,0,0,51,540,402,1,87,26
"Block Group 2, Census Tract 4.02, Charlottesville city, Virginia",515400004022,725,33,0,18,28,0,0,0,0,98,88,58,20,46,50,118,27,66,24,11,11,0,0,29,516,0,13,30,19,0,0,0,22,22,116,11,0,18,95,42,0,37,34,0,0,31,0,26,51,540,402,2,166,86
"Block Group 3, Census Tract 4.02, Charlottesville city, Virginia",515400004023,534,0,0,3,8,31,30,0,2,24,103,57,32,54,1,57,80,0,15,4,0,33,0,0,802,7,65,39,32,0,0,0,15,12,79,196,30,99,26,54,0,52,0,15,68,0,13,0,51,540,402,3,148,46
