NAME,GEO_ID,C17002_002E,C17002_003E,C17002_004E,C17002_005E,C17002_006E,C17002_007E,C17002_008E,state,county,tract,block group
"Block Group 1, Census Tract 1015.01, Arlington County, Virginia",510131015011,35,70,36,10,55,0,1237,51,13,101501,1
"Block Group 1, Census Tract 1015.02, Arlington County, Virginia",510131015021,6,0,0,0,0,0,427,51,13,101502,1
"Block Group 1, Census Tract 1015.03, Arlington County, Virginia",510131015031,0,21,6,0,0,0,1184,51,13,101503,1
"Block Group 1, Census Tract 1016.01, Arlington County, Virginia",510131016011,0,0,0,0,0,0,0,51,13,101601,1
"Block Group 2, Census Tract 1016.02, Arlington County, Virginia",510131016022,16,86,9,0,86,0,450,51,13,101602,2
"Block Group 3, Census Tract 1016.03, Arlington County, Virginia",510131016033,14,0,0,0,12,0,1208,51,13,101603,3
"Block Group 1, Census Tract 1017.01, Arlington County, Virginia",510131017011,11,102,145,182,0,17,355,51,13,101701,1
"Block Group 1, Census Tract 1017.03, Arlington County, Virginia",510131017031,56,76,36,13,10,46,684,51,13,101703,1
"Block Group 1, Census Tract 1018.05, Arlington County, Virginia",510131018051,59,42,28,0,0,9,997,51,13,101805,1
"Block Group 1, Census Tract 1019, Arlington County, Virginia",510131019001,64,13,7,8,21,7,863,51,13,101900,1
"Block Group 1, Census Tract 1020.01, Arlington County, Virginia",510131020011,13,75,0,349,65,12,1285,51,13,102001,1
"Block Group 1, Census Tract 1020.03, Arlington County, Virginia",510131020031,34,33,204,356,163,0,754,51,13,102003,1
"Block Group 1, Census Tract 1021, Arlington County, Virginia",510131021001,11,266,24,1,35,0,412,51,13,102100,1
"Block Group 2, Census Tract 1022, Arlington County, Virginia",510131022002,121,425,0,390,51,0,1077,51,13,102200,2
"Block Group 5, Census Tract 1022, Arlington County, Virginia",510131022005,31,467,101,106,116,72,1472,51,13,102200,5
"Block Group 2, Census Tract 1023.01, Arlington County, Virginia",510131023012,5,24,0,0,0,6,520,51,13,102301,2
"Block Group 3, Census Tract 1023.02, Arlington County, Virginia",510131023023,38,125,0,79,308,78,740,51,13,102302,3
"Block Group 3, Census Tract 1024, Arlington County, Virginia",510131024003,0,8,5,9,0,23,1058,51,13,102400,3
"Block Group 2, Census Tract 1025, Arlington County, Virginia",510131025002,274,45,14,0,58,16,2046,51,13,102500,2
"Block Group 2, Census Tract 1026, Arlington County, Virginia",510131026002,0,0,0,0,0,11,961,51,13,102600,2
"Block Group 1, Census Tract 1027.02, Arlington County, Virginia",510131027021,5,7,24,0,53,0,1167,51,13,102702,1
"Block Group 1, Census Tract 1028.03, Arlington County, Virginia",510131028031,39,0,0,0,69,0,601,51,13,102803,1
"Block Group 1, Census Tract 1028.04, Arlington County, Virginia",510131028041,0,0,196,0,169,0,414,51,13,102804,1
"Block Group 1, Census Tract 1032, Arlington County, Virginia",510131032001,25,0,0,0,50,0,984,51,13,103200,1
"Block Group 4, Census Tract 1032, Arlington County, Virginia",510131032004,15,18,220,0,22,0,1732,51,13,103200,4
"Block Group 1, Census Tract 1034.01, Arlington County, Virginia",510131034011,0,0,0,0,0,0,108,51,13,103401,1
"Block Group 1, Census Tract 1034.04, Arlington County, Virginia",510131034041,62,15,0,0,92,24,1286,51,13,103404,1
"Block Group 2, Census Tract 9305, Mecklenburg County, Virginia",511179305002,28,132,68,47,66,30,385,51,117,930500,2
"Block Group 3, Census Tract 9306, Mecklenburg County, Virginia",511179306003,92,137,43,27,0,0,245,51,117,930600,3
"Block Group 1, Census Tract 9308, Mecklenburg County, Virginia",511179308001,10,28,47,44,74,27,687,51,117,930800,1
"Block Group 4, Census Tract 9308, Mecklenburg County, Virginia",511179308004,0,107,0,58,20,8,372,51,117,930800,4
"Block Group 1, Census Tract 9510, Middlesex County, Virginia",511199510001,14,7,23,34,22,8,1117,51,119,951000,1
"Block Group 4, Census Tract 9510, Middlesex County, Virginia",511199510004,30,79,30,0,13,0,511,51,119,951000,4
"Block Group 3, Census Tract 9511, Middlesex County, Virginia",511199511003,23,52,0,0,102,0,205,51,119,951100,3
"Block Group 2, Census Tract 9512, Middlesex County, Virginia",511199512002,26,0,1,116,8,0,635,51,119,951200,2
"Block Group 1, Census Tract 204.01, Montgomery County, Virginia",511210204011,564,70,26,40,0,0,32,51,121,20401,1
"Block Group 2, Census Tract 204.02, Montgomery County, Virginia",511210204022,1024,131,34,22,29,21,128,51,121,20402,2
"Block Group 2, Census Tract 205, Montgomery County, Virginia",511210205002,240,55,9,0,0,0,422,51,121,20500,2
"Block Group 1, Census Tract 206, Montgomery County, Virginia",511210206001,210,39,19,0,23,0,939,51,121,20600,1
